Questions,LemmaID,words,category,lexical_category,aoa,DF_aoa,Kuperman_aoa,words_FeatsVersion,words_FANversion,words_DaleFensonVersion,words_KupermanVersion,Freq_pm,Feats_check,FAN_check,DF_check
,gum,gum,food_drink,nouns,26.34792998,25,4.89,gum,gum,gum,gum,13.39,TRUE,TRUE,TRUE
,hair,hair,body_parts,nouns,19.25020954,19,3.17,hair,hair,hair,hair,153.55,TRUE,TRUE,TRUE
,hamburger,hamburger,food_drink,nouns,24.30924369,23,5.21,hamburger,hamburger,hamburger,hamburger,7.78,TRUE,TRUE,TRUE
,hammer,hammer,household,nouns,25.23644733,23,5.42,hammer,hammer,hammer,hammer,12.47,TRUE,TRUE,TRUE
,hands,hand,body_parts,nouns,20.76285378,19,2.74,hand,hand,hand,hand,279.65,TRUE,TRUE,TRUE
,hate,hat,clothing,nouns,18.0418853,18,3.33,hat,hat,hat,hat,64.18,TRUE,TRUE,TRUE
,head,head,body_parts,nouns,21.08386805,21,3.42,head,head,head,head,371.51,TRUE,TRUE,TRUE
,helicopter,helicopter,vehicles,nouns,24.42727061,25,5.26,helicopter,helicopter,helicopter,helicopter,15.8,TRUE,TRUE,TRUE
,home,home,places,other,21.17518853,21,3.87,home,home,home,home,774.33,TRUE,TRUE,TRUE
,horse,horse,animals,nouns,20.00326953,19,4.15,horse,horse,horse,horse,92.88,TRUE,TRUE,TRUE
,horse,pony,animals,nouns,27.30214092,26,5.39,pony,pony,pony,pony,8.1,TRUE,TRUE,TRUE
,hose,hose,outside,nouns,26.52950701,26,5.33,hose,hose,hose,hose,8.06,TRUE,TRUE,TRUE
,house,house,places,other,22.22968188,22,3.16,house,house,house,house,514,TRUE,TRUE,TRUE
,ice,ice,food_drink,nouns,22.23375138,22,3.86,ice,ice,ice,ice,79.55,TRUE,TRUE,TRUE
,icecream,ice cream,food_drink,nouns,21.43298396,22,3.33,ice_cream,ice cream,ice cream,icecream,#N/A,TRUE,TRUE,TRUE
,jacket,jacket,clothing,nouns,23.32266643,23,3.95,jacket,jacket,jacket,jacket,33.41,TRUE,TRUE,TRUE
,jelly,jelly,food_drink,nouns,25.84604098,25,4.11,jelly,jelly,jelly,jelly,7.12,TRUE,TRUE,TRUE
,jigsaw_puzzle,puzzle,toys,nouns,23.74597692,24,5.11,puzzle,puzzle,puzzle,puzzle,7.33,TRUE,TRUE,TRUE
,juice_1,juice,food_drink,nouns,17.1850153,16,4.4,juice,juice,juice,juice,26.88,TRUE,TRUE,TRUE
,key,keys,household,nouns,20.71199867,17,3.58,key,keys,keys,key,86.86,TRUE,TRUE,TRUE
,kitchen,kitchen,furniture_rooms,nouns,23.41508688,23,3.68,kitchen,kitchen,kitchen,kitchen,58.31,TRUE,TRUE,TRUE
,knife,knife,household,nouns,24.57805121,23,4.15,knife,knife,knife,knife,46.8,TRUE,TRUE,TRUE
,lamp,lamp,household,nouns,27.19430538,28,4,lamp,lamp,lamp,lamp,12.88,TRUE,TRUE,TRUE
,lawnmower,lawn mower,outside,nouns,26.28983009,23,6.11,lawn_mower,lawn mower,lawn mower,lawnmower,0.47,TRUE,FALSE,TRUE
,lion,lion,animals,nouns,22.43681334,23,4.42,lion,lion,lion,lion,15.35,TRUE,TRUE,TRUE
,living_room,living room,furniture_rooms,nouns,26.79651678,26,NA,living_room,living room,living room,living room,NA,TRUE,TRUE,TRUE
,lollipop,lollipop,food_drink,nouns,26.73891841,27,3.89,lollipop,lollipop,lollipop,lollipop,1.78,TRUE,TRUE,TRUE
,mailman,mailman,people,other,27.82215344,27,4.72,mailman,mailman,mailman,mailman,2.88,TRUE,TRUE,TRUE
,man,man,people,other,24.76418293,22,3.11,man,man,man,man,1845.75,TRUE,TRUE,TRUE
,meat,meat,food_drink,nouns,25.35411497,24,4.42,meat,meat,meat,meat,43.65,TRUE,TRUE,TRUE
,medicine,medicine,household,nouns,23.70381663,23,4.89,medicine,medicine,medicine,medicine,34.2,TRUE,TRUE,TRUE
,melon,melon,food_drink,nouns,27.40429592,27,4.21,melon,melon,mellon,melon,4.27,TRUE,FALSE,TRUE
,milk,milk,food_drink,nouns,17.64123586,19,3.37,milk,milk,milk,milk,42.53,TRUE,TRUE,TRUE
,money,money,household,nouns,22.84704748,22,5.11,money,money,money,money,640.76,TRUE,TRUE,TRUE
,monkey,monkey,animals,nouns,20.96934574,21,4.21,monkey,monkey,monkey,monkey,33.51,TRUE,TRUE,TRUE
,moon,moon,outside,nouns,20.28989383,21,4.83,moon,moon,moon,moon,49.96,TRUE,TRUE,TRUE
,mop,mop,household,nouns,28.44982684,30,5.11,mop,mop,mop,mop,4.14,TRUE,TRUE,TRUE
,mother,mommy*,people,other,-1.504492184,16,2.22,mommy,mom,mommy,mom,430.39,TRUE,TRUE,TRUE
,motorcycle,motorcycle,vehicles,nouns,24.76355429,23,5.05,motorcycle,motorcycle,motorcycle,motorcycle,8.92,TRUE,TRUE,TRUE
,mouse,mouse,animals,nouns,22.49370439,21,4.94,mouse,mouse,mouse,mouse,19.12,TRUE,TRUE,TRUE
,mouth,mouth,body_parts,nouns,19.73968295,19,3.58,mouth,mouth,mouth,mouth,104.41,TRUE,TRUE,TRUE
,movie,movie,places,other,26.43939978,29,3.56,movies,movie,movie,movie,122.96,TRUE,TRUE,TRUE
,napkin,napkin,household,nouns,24.15536324,23,4.79,napkin,napkin,napkin,napkin,3.61,TRUE,TRUE,TRUE
,necklace,necklace,clothing,nouns,25.05522804,24,5,necklace,necklace,necklace,necklace,9.75,TRUE,TRUE,TRUE
,nurse,nurse,people,other,31.16947702,NA,5.84,nurse,nurse,nurse,nurse,44.98,TRUE,TRUE,TRUE
,nut,nuts,food_drink,nouns,26.67861849,26,5.21,nuts,nuts,nuts,nut,15.63,TRUE,TRUE,TRUE
,orange,orange (food),food_drink,nouns,22.25372528,22,3.26,orange,orange,orange (food),orange,22.31,TRUE,TRUE,TRUE
,outside,outside,places,other,19.51690062,19,3.58,outside,outside,outside,outside,170.02,TRUE,TRUE,TRUE
,owl,owl,animals,nouns,23.13649325,22,6.21,owl,owl,owl,owl,5.61,TRUE,TRUE,TRUE
,pants,pants,clothing,nouns,21.74379025,21,3.23,pants,pants,pants,pants,58.75,TRUE,TRUE,TRUE
,paper,paper,household,nouns,22.18409273,21,4,paper,paper,paper,paper,103.35,TRUE,TRUE,TRUE
,party,party,places,other,25.3846255,26,4.58,party,party,party,party,233.14,TRUE,TRUE,TRUE
,peanut_butter,peanut butter,food_drink,nouns,24.03005852,23,NA,peanut_butter,peanut butter,peanut butter,peanut butter,NA,TRUE,TRUE,TRUE
,pencil,pencil,toys,nouns,24.59542866,25,4.06,pencil,pencil,pencil,pencil,9.86,TRUE,TRUE,TRUE
,penny,penny,household,nouns,26.09981882,25,4.67,penny,penny,penny,penny,24.29,TRUE,TRUE,TRUE
,people,people,people,other,26.44488967,26,3.52,people,people,people,people,1102.98,TRUE,TRUE,TRUE
,person,person,people,other,31.54978586,NA,4.67,person,person,person,person,212.88,TRUE,TRUE,TRUE
,picture,picture,household,nouns,23.51323389,23,4.05,picture,picture,picture,picture,138.45,TRUE,TRUE,TRUE
,pig,pig,animals,nouns,20.32578605,19,3.84,pig,pig,pig,pig,39.14,TRUE,TRUE,TRUE
,pjs,pajamas,clothing,nouns,22.78413519,23,3.48,pajamas,pajamas,pajamas,pajamas,5.82,TRUE,TRUE,TRUE
,plate,plate,household,nouns,23.45700219,23,3.84,plate,plate,plate,plate,25.65,TRUE,TRUE,TRUE
,playground,playground,places,other,27.08580541,29,4.28,playground,playground,playground,playground,5.1,TRUE,TRUE,TRUE
,policeman,police,people,other,27.89672926,27,5.05,police,police,police,police,236.16,TRUE,TRUE,TRUE
,potato,potato,food_drink,nouns,24.66266224,25,4.84,potato,potato,potato,potato,11.29,TRUE,TRUE,TRUE
,rabbit,bunny,animals,nouns,20.0411862,19,4.5,bunny,bunny,bunny,bunny,18.55,TRUE,TRUE,TRUE
,radio,radio,household,nouns,26.63880817,26,5.17,radio,radio,radio,radio,77.18,TRUE,TRUE,TRUE
,rain,rain,outside,nouns,21.67828998,20,3.6,rain,rain,rain,rain,48.9,TRUE,TRUE,TRUE
,rock,rock,outside,nouns,21.54236439,21,3.22,rock,rock,rock,rock,86.16,TRUE,TRUE,TRUE
,rocking_chair,rocking chair,furniture_rooms,nouns,25.94326302,25,7.06,rocker,rocking chair,rocking chair,rocker,1.25,TRUE,FALSE,TRUE
,rooster,rooster,animals,nouns,27.14415999,27,6.41,rooster,rooster,rooster,rooster,3.86,TRUE,TRUE,TRUE
,salt,salt,food_drink,nouns,27.70051041,29,5.05,salt,salt,salt,salt,19.51,TRUE,TRUE,TRUE
,sandwich,sandwich,food_drink,nouns,24.09876512,23,4.79,sandwich,sandwich,sandwich,sandwich,21.92,TRUE,TRUE,TRUE
