Concept,definition,uni_lemma,Pronunciation,Num_Parts,MN_Toddler_Access,MN_Toddler_Access_No_Tax,Phon_1st,SUBTLEX_PM,LN_SUBTLEX,Length_Letters,Length_Phonemes,Length_Syllables,Bigram,Trigram,ColtheartN,Num_Feats_Tax,Num_Feats_No_Tax,Num_Disting_Feats_No_Tax,Disting_Feats_Percent_No_Tax,Mean_Distinct_No_Tax,Mean_CV_No_Tax,Density_No_Tax,Num_Corred_Pairs_No_Tax,Percent_Corred_Pairs_No_Tax,Num_Func,Num_Vis_Mot,Num_VisFandS,Num_Vis_Col,Num_Sound,Num_Taste,Num_Smell,Num_Tact,Num_Percep,Num_Ency,Num_Tax
towel,towel,towel,[taU][@l],55,4.79,4.78,t,330.23,5.8,5,4,2,639.29,221.01,4,13,12,4,33,0.376,0.362,58.3,2,3,5,0,2,1,0,0,0,2,5,2,1
toy,toy (object),toy (object),[tOI],30,5.2,5.04,t,250.48,5.52,3,2,1,842.51,NA,15,8,7,3,43,0.499,0.507,127.9,3,14,5,0,0,0,0,0,0,0,0,2,1
tractor,tractor,tractor,[tr&k][t@r*],77,4.28,4.49,t,98.54,4.59,7,7,2,375.99,104.16,1,13,9,5,56,0.54,0.539,28.67,1,3,4,0,2,1,0,0,0,0,3,2,4
train,train,train,[treIn],30,4.18,4.18,t,1384.66,7.23,5,4,1,1247.27,546.95,6,15,15,8,53,0.56,0.545,595.12,12,11,4,1,5,0,1,0,0,0,7,4,0
trash,trash,trash,[tr&S],59,4.62,4.65,t,241.1,5.49,5,4,1,946.53,192.49,2,12,10,6,60,0.418,0.421,70.97,2,4,0,3,2,0,0,0,2,0,7,3,2
tray,tray,tray,[treI],30,4.18,4.18,t,125.16,4.83,4,3,1,545.19,42.53,7,12,12,3,25,0.366,0.374,362.33,13,20,5,0,6,0,0,0,0,0,6,1,0
tree,tree,tree,[tri:],40,4.41,4.35,t,1665.69,7.42,4,3,1,424.04,177.62,4,16,14,9,64,0.588,0.605,130.92,3,3,3,0,7,1,0,0,0,0,8,3,2
tricycle,tricycle,tricycle,[traI][sI][k],30,5,5,t,9.79,2.28,8,7,3,284.22,11.25,0,17,15,4,27,0.29,0.284,660.99,13,12,4,1,7,1,0,0,0,0,9,2,2
truck,truck,truck,[trVk],72,4.56,4.52,t,1347.23,7.21,5,4,1,756.54,128.98,4,10,9,3,33,0.387,0.389,454.16,10,28,2,0,5,0,0,0,0,0,5,2,1
tummy,tummy,tummy,[tV][mI],59,4.88,4.67,t,43.4,3.77,5,4,2,162.68,30.64,4,11,8,5,62,0.719,0.726,19.02,1,4,1,0,5,0,0,0,0,0,5,2,3
tuna,tuna,tuna,[tu:][n@],30,4.8,4.78,t,121.53,4.8,4,4,2,205.32,9.52,1,14,13,2,15,0.256,0.231,743.23,13,17,4,1,3,0,0,1,1,0,6,3,1
turkey,turkey,turkey,[t3:][kI],30,4.44,4.4,t,466.84,6.15,6,4,2,906.68,215.65,0,18,15,6,40,0.471,0.455,432.01,14,13,3,1,3,0,1,0,0,0,5,7,3
turtle,turtle,turtle,[t3:][t],30,4.91,4.96,t,392.36,5.97,6,4,2,1559.43,462.24,1,18,14,5,36,0.323,0.334,354.27,7,8,0,4,5,1,0,0,0,1,11,3,4
TV,tv,tv,[ti:][vi:],82,4.36,4.36,t,1099.5,7,2,4,2,NA,NA,3,10,10,7,70,0.695,0.687,0,0,0,4,0,3,0,0,0,0,0,3,3,0
uncle,uncle,uncle,[VN][k],38,4.55,4.59,V,821.84,6.71,5,4,2,829.97,68.43,0,6,2,0,0,0.196,0.172,17.44,1,100,0,0,0,0,0,0,0,0,0,2,4
underpants,underpants,underpants,[Vn][d@][p&nts],44,3.81,4.02,V,41.59,3.73,10,9,3,532.29,NA,0,13,8,2,25,0.371,0.348,97.75,3,11,4,0,2,1,0,0,0,0,3,1,5
