Concept,definition,uni_lemma,Num_Func,Num_Vis_Mot,Num_VisFandS,Num_Vis_Col,Num_Sound,Num_Taste,Num_Smell,Num_Tact,Num_Percep,Num_Ency,Num_Tax,LemmaID,Sign,bglm_aoa_ASL,empirical_aoa_ASL,category,lexical_category,aoa,DF_aoa,CHILDES.count,CHILDES.freq.pm,CHILDES.ln_freq.pm,SignFrequency(Z)
grandma,grandma*,grandma,0,2,1,0,0,0,0,0,3,8,2,grandfather,GRANDFATHER,26,14,people,other,17.19374519,18,461,200.93905226507567,5.303001639516007,-0.143
grandpa,grandpa*,grandpa,0,0,1,0,0,0,0,0,1,5,2,grandmother,GRANDMOTHER,26,14,people,other,18.21394532,18,175,76.27838209628685,4.334389570442872,0.117
grape,grapes,grapes,5,0,2,3,0,3,0,0,8,3,1,grapes,GRAPES,28,23,food_drink,nouns,21.59049325,21,292,127.27592898351864,4.84635739878764,0.274
grass,grass,grass,1,0,2,1,0,0,0,1,4,6,1,grass,GRASS,30,15,outside,nouns,22.92264727,22,265,115.50726431723436,4.749333422505581,0.48
green_beans,green beans,green beans,2,0,1,1,0,0,0,0,2,6,2,beans,~BEAN,50,23,food_drink,nouns,26.90884095,30,1,0.4358764691216392,-0.8303964034806417,-0.832
gum,gum,gum,1,0,0,1,0,3,0,2,6,4,1,gum,GUM,41,35,food_drink,nouns,26.34792998,25,71,30.947229307636384,3.4322834735606738,0.422
hair,hair,hair,1,0,6,6,0,0,0,0,12,4,0,hair,HAIR,24,16,body_parts,nouns,19.25020954,19,1407,613.2781920541463,6.418818653633747,0.873
hamburger,hamburger,hamburger,2,0,9,0,0,1,0,0,10,2,3,hamburger,HAMBURGER,32,28,food_drink,nouns,24.30924369,23,133,57.971570393178006,4.059952724741112,0.232
hammer,hammer,hammer,5,0,7,0,1,0,0,1,9,1,1,hammer,HAMMER,31,16,household,nouns,25.23644733,23,306,133.3781995512216,4.893188698471739,-1.049
hand,hand,hand,4,0,8,0,0,0,0,0,8,0,1,hands,HANDS,37,32,body_parts,nouns,20.76285378,19,2202,959.7999850058494,6.866724913801984,0.341
head,head,head,0,0,10,0,0,0,0,0,10,1,1,head,HEAD,37,23,body_parts,nouns,21.08386805,21,1323,576.6645686479286,6.357260760634314,0.094
helicopter,helicopter,helicopter,3,2,3,0,1,0,0,0,6,1,0,helicopter,HELICOPTER,27,23,vehicles,nouns,24.42727061,25,95,41.40826456655572,3.723480488119899,-0.911
home,home,home,6,0,0,0,0,0,0,1,1,1,1,home,HOME,25,18,places,other,21.17518853,21,1150,501.257939489885,6.217120817876654,1.138
horse,horse,horse,5,2,6,0,0,0,0,0,8,5,1,horse,HORSE,25,14,animals,nouns,20.00326953,19,1023,445.9016279114369,6.100098362470985,-0.257
house,house,house,4,0,10,0,0,0,0,0,10,0,2,house,HOUSE,29,28,places,other,22.22968188,22,2335,1017.7715553990276,6.925370766622356,0.672
